meaning,participant,round,pair,totalPath,totalAmplitude,totalBbmv,totalVelocity,totalPartitioning,totalConvexHull,peakAcceleration,condition
gwozdz,p010,3,P009_P010_Z,62.50872066306636,48.124666111868265,32933.41587095316,16.352595234453414,3.532567049808429,6024.90341580171,1552.0638974095557,stand
butelka,p097,3,P097_P098_Z,76.54348584224876,44.50610784934927,19042.273174210022,25.119239618159188,2.7624521072796937,2227.457889822635,1370.6321763492656,stand
otworzyc,p042,2,P041_P042_Z,42.11256930018849,57.77607607160252,26180.421405743466,16.336625691733406,2.0766283524904217,4524.063479547597,1302.0648268748373,stand
jechac,p010,1,P009_P010_Z,81.37403316271744,51.50781467378589,53175.40725641821,14.990047753702267,5.065134099616858,7668.533177567297,1529.1633854300253,stand
butelka,p048,3,P047_P048_Z,80.40575420030946,114.6824727150693,22574.50930120433,15.734836734480076,4.21455938697318,4645.730263089762,716.6442957773942,stand
skakac,p052,2,P051_P052_Z,64.0652495240396,45.129708945620216,4405.231073642867,18.3319159516246,4.172413793103448,991.920513699421,1863.9434872857344,stand
jablko,p097,1,P097_P098_Z,73.75936887974791,44.48862612894154,31760.655657877563,16.469899618085584,4.149425287356322,4909.512309701739,1394.0179887930285,stand
ksiazka,p023,1,P023_P024_Z,179.10636670673875,48.69684190165299,38286.97946825432,5.627140853943231,31.90421455938697,12760.50342701292,1427.9237613389423,stand
rabac,p127,2,P127_P128_N,125.4907463875952,31.072225257782215,55227.88744473024,23.64072495630002,4.413793103448276,16256.056307310211,1333.1389756511835,sit
patelnia,p058,1,P057_P058_Z,84.03678661363959,107.7744622016156,8581.96244856681,8.301960006033815,11.517241379310343,2202.4501910404133,2075.6432335241343,sit
drewno,p015,3,P015_P016_Z,27.12192801055179,46.04635547978892,2935.2161528929814,13.584548907454932,2.0383141762452106,420.5194895556736,870.5820425881071,stand
butelka,p037,3,P037_P038_Z,97.79814817787504,74.70371678359385,47533.04293038907,14.827466459726535,5.176245210727969,4362.546303541476,1189.0403129127574,stand
otworzyc,p027,2,P027_P028_Z,236.6892537745321,76.64780610456297,21375.132226072597,9.189675713387707,25.22222222222222,6791.367724690391,1558.039125601981,sit
gwozdz,p086,2,P085_P086_Z,85.97467625180136,30.705099669416075,18856.937838796,21.601775258616428,4.402298850574713,5672.943533002403,2491.619349351187,stand
obierac,p091,1,P091_P092_Z,57.62439632568248,59.178429274476265,9638.655718748978,15.056241691429827,3.272030651340996,1723.642644653829,2085.952011792338,stand
jechac,p007,1,P007_P008_Z,36.19649984889711,45.96249707658952,1778.1595295532636,5.809383765334138,5.620689655172414,486.5394674362088,785.7367388531129,sit
jablko,p080,2,P079_P080_Z,50.88030433238553,53.31012723110567,23912.25626874951,13.98987035236136,3.191570881226053,2697.3824696850784,2274.7724996890684,stand
smazyc,p101,3,P101_P102_Z,94.58225539271218,108.35284007600562,26962.441604494637,16.78708723658016,5.049808429118774,4699.53818345229,1516.6961438513863,stand
czytac,p114,3,P113_P114_Z,21.751934034473404,26.59507953933064,1307.6771192235117,4.058775686616537,4.977011494252873,237.2324490364333,753.9558385839285,sit
rower,p122,2,P121_P122_Z,28.26124824256834,50.1272770891568,2549.539967702283,10.603182324884283,2.4942528735632186,399.1413093447391,859.3379370179541,sit
rabac,p069,3,P069_P070_N,112.07073019429718,85.24710016112428,58029.42980890871,20.39542112941974,4.524904214559387,14034.537774168915,2391.468337540025,stand
smazyc,p142,3,P141_P142_Z,31.319740958403607,56.80955318959354,3121.1098602273983,6.648628553108439,5.118773946360153,227.50384789392805,983.5154167190176,sit
czytac,p127,2,P127_P128_N,21.69458951999957,64.65851794472819,1023.1411325295458,3.902105501575124,5.919540229885057,160.9174133056032,544.4913749305349,sit
obierac,p117,1,P117_P118_Z,43.05554764553884,55.23230944022258,4200.294090820541,5.967437741237054,7.969348659003831,656.7444769600594,623.5930368432348,sit
patelnia,p094,3,P093_P094_Z,90.33248126222628,74.12866380664855,37753.20264618118,14.3763362346728,5.505747126436781,5428.961613951931,1371.8280969398438,stand
lowic,p005,3,P005_P006_Z,61.328659477057336,47.5613911627401,23508.4622180499,13.5217787494152,3.8084291187739465,4265.425127448723,1090.0859011079124,sit
wbijac,45,2,P045_P046_Z,144.90432252687208,40.3259671971085,46774.19330182207,23.995073901986075,6.482758620689655,12253.066518713387,2887.69458060777,stand
chodzic,p118,3,P117_P118_Z,17.572807210692698,103.94244668573462,3201.689464491136,5.776202503873623,3.0804597701149423,656.3566808652274,642.1542208349034,sit
rower,p113,2,P113_P114_Z,92.21606766625172,65.03395826648598,16264.96067813184,10.02412729875541,8.555555555555555,4082.093761538132,1303.5196306712648,sit
lawka,p024,2,P023_P024_Z,145.5403610050471,99.75362252674527,110343.07248496864,19.250525995629925,5.425287356321839,23348.31640593792,1306.616908256413,stand
wchodzic,p012,2,P011_P012_Z,68.75760313573859,67.83914786289058,45972.16647637495,25.755476725485583,2.0,12495.637832245447,1167.8409458117228,stand
jechac,p117,2,P117_P118_Z,53.74556223300621,41.54983670848882,5279.977116335761,8.142030793650129,5.965517241379311,509.78235438713386,627.2896990039409,sit
lawka,p103,3,P103_P104_Z,106.0003493897899,122.58975040607469,93610.7805391382,18.725779171585188,4.946360153256705,16032.14344895788,1729.4961654252031,stand
czytac,p014,1,P013_P014_Z,39.219088750709,35.77290993586863,14932.445013915443,6.184675353214734,7.505747126436781,709.6328788149441,743.6797276297688,stand
rower,p060,2,P059_P060_Z,129.21841499148258,63.11167963060301,66448.70033281556,17.770207395019423,6.620689655172414,15731.79075763944,1637.9427064283018,stand
schodzic,p083,3,P083_P084_Z,40.00994108299377,39.833465351085714,14327.40670635914,12.725613265707567,2.839080459770115,1675.1735125451955,1198.761756487905,stand
lowic,p144,2,P143_P144_Z,80.75757864691462,54.98786508946559,53965.84065818921,22.244942917451272,3.770114942528736,16259.45901129331,2205.6828529716977,sit
patelnia,p071,2,P071_P072_Z,29.56112598402262,43.71862582460334,1472.790855314269,7.701931854476457,3.904214559386973,240.5616687679137,1316.164634380213,sit
gwozdz,p042,1,P041_P042_Z,68.12245691889544,102.06236161723793,36308.47546876408,16.712463203357178,3.2873563218390807,6310.453641078082,1764.7572167305832,stand
patrzec,p079,2,P079_P080_Z,51.324729376037,37.20250466431777,13864.94510804113,15.982400949998198,2.421455938697318,1711.3704864082424,1320.1829265794656,stand
obierac,p124,3,P123_P124_Z,44.20774645516718,54.074193794456086,11531.814058700977,14.156954213587788,2.6513409961685825,1658.8036811923298,1893.5969415813863,sit
strzelac,p144,2,P143_P144_Z,81.08157310179855,44.835868293158406,31246.6061667862,17.084361297227293,5.578544061302682,6315.518504290479,2215.069472292923,sit
butelka,p140,2,P139_P140_N,51.27524724773868,94.32772041882794,6499.954814150302,9.066916497218749,4.781609195402299,1322.5315380758282,866.6741338083493,stand
laska,p144,2,P143_P144_Z,50.44528335995651,59.12758575486557,10672.328807072412,11.407163119335936,3.938697318007663,2012.9221476675373,1093.325857214482,sit
skakac,p096,3,P095_P096_Z,50.90752437000428,29.796902744220134,5373.601236632022,26.316194781372207,2.1954022988505746,717.0143084072865,1605.6587209909517,stand
kopac,p060,3,P059_P060_Z,99.28309620786146,53.82783412156378,24525.93244192045,19.69308472474285,4.559386973180077,5722.263313827632,1468.5290240828565,stand
patrzec,p091,2,P091_P092_Z,29.39360425975824,43.83977936900935,5568.824656696549,10.978895429974932,2.8045977011494254,1085.1193947568977,1532.3975345621775,stand
drewno,p036,3,P035_P036_Z,87.47225764295665,104.378697447697,29584.18422882964,21.504615871842955,4.137931034482759,8057.381099233157,2114.553928183315,sit
strzelac,p047,2,P047_P048_Z,47.98251919731358,45.77244977619202,49195.57265727378,18.362861099714216,1.89272030651341,6738.463208220574,2439.343302424777,stand
luneta,p117,2,P117_P118_Z,80.7176583824318,43.90456254495244,10490.829331437792,9.049703527666251,7.329501915708812,2538.771499632914,1162.433914978086,sit
ksiazka,p110,1,P109_P110_Z,60.20462141923596,72.02378579630805,4429.759279868381,8.951032278176385,8.042145593869732,901.9494181078946,965.791707107478,stand
gwozdz,p043,2,P043_P044_Z,73.79444093935597,216.93069231859027,31293.924540755885,16.39763642783551,3.789272030651341,7179.785617227004,1641.1113021340502,stand
jablko,p056,2,P055_P056_Z,62.49511898431873,43.189019655714645,44686.11261610108,15.947318688935074,2.888888888888889,10419.733621409108,2348.2426929754906,stand
wchodzic,p110,3,P109_P110_Z,208.11754163342584,40.26003626834552,182795.78155659084,33.97434268424222,5.095785440613027,46942.91569443201,2397.719092514331,stand
jablko,p069,1,P069_P070_N,64.28709242402164,48.96366525278004,5884.894608241438,5.879803606734736,8.842911877394636,1403.8587020937043,3038.4932558814,stand
strzelac,p086,3,P085_P086_Z,39.77096179214145,57.5890031268907,33188.92642984015,25.6947884191438,1.4061302681992338,4541.544130351915,3293.4867847725827,stand
drewno,p039,3,P039_P040_Z,218.12221746183096,51.45947414765613,211804.6911455135,35.097132351055464,5.275862068965517,63323.3737362067,2056.733664446514,stand
wchodzic,p065,1,P065_P066_Z_SIT,43.5721810162718,83.37799961044837,6532.447354806739,8.852343249375815,5.3869731800766285,1057.041390936023,946.1778323404192,stand
smazyc,p088,1,P087_P088_Z,61.12179284221616,41.01870970927889,13710.779105614964,14.20647468050812,4.789272030651341,1785.859746323016,1205.687203604597,stand
otworzyc,p012,2,P011_P012_Z,68.87601454830673,69.2054990167589,36075.70630457951,13.793977732604771,3.8045977011494254,4608.909757206215,1266.3911164717542,stand
czytac,p142,2,P141_P142_Z,29.08665255857077,39.01751164281315,3075.5311041528475,6.540503525794763,5.325670498084291,395.2823869589132,656.7071928135726,sit
laska,p079,1,P079_P080_Z,121.48105840937608,35.7703998680046,60793.65517168278,14.246422677532452,7.030651340996169,11929.072584682744,1466.2114541036117,stand
schodzic,p091,2,P091_P092_Z,45.24512078749622,56.23651426546063,32673.67497974622,23.760680580014554,1.6934865900383145,3162.348106558357,2674.5143874712776,stand
jablko,p023,1,P023_P024_Z,58.23499321184657,50.947988675899424,15449.385611310645,4.597519903203937,10.743295019157088,1757.8248385149536,1067.6333061886533,stand
gwozdz,p039,1,P039_P040_Z,147.72317368971147,60.873357396998415,58775.52170968432,15.954612100749408,10.593869731800766,15444.82560493512,2181.712702414193,stand
luk,p043,3,P043_P044_Z,49.86413006583957,517.163056377292,43177.90988717588,21.747170027797942,2.14176245210728,7915.217035067733,1633.411761258773,stand
otworzyc,p078,1,P077_P078_Z,235.08816925360196,28.459682568313884,148775.2614595457,12.720092213907744,16.578544061302683,47599.64886090708,2451.712097821829,sit
lopata,p015,1,P015_P016_Z,98.51874169769933,47.158860957410354,29823.747068484277,17.854489801012214,4.452107279693487,5259.915896306972,2152.253035791948,stand
skakanka,p117,2,P117_P118_Z,128.77491507804132,36.77615884788148,28565.82248077629,17.708721640315456,7.417624521072797,6478.762614674096,1277.0096350677152,sit
wchodzic,p137,2,P137_P138_Z,145.85931934180311,36.04325314795316,20910.59688375133,7.526515724910187,19.666666666666668,4157.647162316207,1232.2337685742448,sit
smazyc,p114,1,P113_P114_Z,156.4483299303657,93.14370418420133,7557.511459331433,9.495365158582546,21.199233716475096,2214.28210184608,1090.11779561887,sit
schody,p137,1,P137_P138_Z,107.92734058350116,50.29781001885279,17968.605446531157,12.790137475382458,8.337164750957854,4315.346827231188,1614.2503668092993,sit
lawka,p028,2,P027_P028_Z,62.00006436591181,23.632869484091227,24916.481584274323,13.701576002155152,4.252873563218391,2884.9249972137395,1158.0519455116262,sit
schody,p050,1,P049_P050_Z,146.8839434675647,204.4628373011592,190392.2126080144,21.24104694711569,5.509578544061303,23389.82477012058,1804.051850024482,stand
skakanka,p057,3,P057_P058_Z,62.576704791454304,28.500393035313586,14296.204182879364,22.844770177808737,2.5478927203065136,1180.9478360555506,2196.296480595222,sit
siedziec,p043,1,P043_P044_Z,173.26058402074932,49.81649716105055,52971.82712384077,16.581870787192145,9.544061302681992,12233.352603725069,1508.9323599498962,stand
luneta,p082,1,P081_P082_Z,54.37051099907651,23.01887631670713,28723.36165661279,9.309096337031354,5.367816091954023,7886.162763683646,999.2962583788728,stand
czytac,p067,1,P067_P068_Z,34.627836605218654,77.66938827164202,3866.4537849413286,9.032071329003973,3.490421455938697,572.8105727275421,1210.229112716488,sit
rabac,p002,1,P001_P002_Z,369.9979736464998,60.488502945828166,73626.27557572626,10.973972913206206,32.21072796934866,26122.669484924056,2201.141072634757,sit
wchodzic,p053,1,P053_P054_Z,102.00662194086944,67.96426228601592,95066.09714615806,21.870980153239408,4.310344827586207,20673.45085260757,1847.3078499613007,stand
skakanka,p091,2,P091_P092_Z,66.17149923295617,72.7149824004195,11163.394592801496,34.058998391152215,2.1877394636015324,1537.406243708045,2262.835824395348,stand
rower,p102,3,P101_P102_Z,55.1093417950223,55.75231710585293,23110.081504845613,16.2006587468033,3.053639846743295,3455.070703544777,1441.4063976517896,stand
schodzic,p040,3,P039_P040_Z,160.6860422564387,48.31307469858843,160767.05609570723,25.153868375636925,5.601532567049809,31052.060018724693,1840.4964218129253,stand
kopac,p126,1,P125_P126_Z,194.55962138476585,844.8276161913872,63775.379870071534,19.205435083845327,9.996168582375478,21164.9292818078,1881.9260963066367,sit
lawka,p130,2,P129_P130_Z,12.796546153035433,48.43401564620633,1146.600944339002,6.284551295119584,1.628352490421456,166.34241630353748,548.2984675758441,sit
smazyc,p042,2,P041_P042_Z,68.09998072634066,87.66922537428377,11545.678481543056,18.299999067949297,4.084291187739463,3146.9849500977534,1261.68706985294,stand
jablko,p064,3,P063_P064_Z,30.397872368883203,26.25504606989564,12646.519970257092,11.46171504979609,2.425287356321839,1998.1955155014373,752.2336631069841,sit
wchodzic,p061,2,P061_P062_Z,79.71782328546595,59.0341278959646,12057.950626057504,18.2109882146171,4.206896551724138,2983.795726274317,979.3606379142448,sit
ksiazka,p017,2,P017_P018_Z,43.55317435097616,63.050510650157776,11035.60353157896,12.21815349021003,3.3869731800766285,1869.301823922587,1474.0954920815382,stand
obierac,p059,2,P059_P060_Z,59.2411019771983,33.01463817517924,5401.664127058883,10.98607748262886,5.697318007662835,1232.1020234084565,1081.0248881025311,stand
jablko,p029,3,P029_P030_Z,33.4295050818128,74.18423423806743,15898.298623441307,6.856065103171427,4.670498084291188,2150.433617709681,531.063545258888,sit
kopac,p082,3,P081_P082_Z,27.54156204136417,41.98659834618677,6204.451236531067,12.974803717142636,2.019157088122605,460.5395087029746,2409.4724115360364,stand
schody,p134,1,P133_P134_Z,53.00582772045398,43.37065071165661,5575.783593393512,8.967567666161814,5.528735632183908,793.6917996625842,1388.6948312242469,sit
obierac,p114,1,P113_P114_Z,494.6924606951016,76.27189222693337,16036.251681842426,8.793753091550094,66.19923371647509,6110.626420401536,1558.089185083268,sit
czytac,p138,1,P137_P138_Z,34.28172651971814,112.22950920466069,1471.6192479961203,3.808704927566336,9.076628352490422,280.7778993555761,999.004285550344,sit
laska,p107,2,P107_P108_Z,181.69698116910195,47.18577051025064,139807.94891919525,7.807950768469921,24.67049808429119,21739.398576986085,1513.576321393812,stand
butelka,p024,3,P023_P024_Z,77.81400305569626,47.73278517083161,24787.109840757454,15.518136690350458,4.363984674329502,3698.020186987018,2277.064117145213,stand
lowic,p071,2,P071_P072_Z,64.10541769664681,35.65927319774172,20021.50574682746,16.507075052093878,3.524904214559387,3813.896976582892,1856.8191060121385,sit
gwozdz,p037,1,P037_P038_Z,114.1221448128929,120.93193988931208,95801.62832006442,14.432798015392851,8.352490421455938,9744.356939075884,2254.1273239514658,stand
schodzic,p056,3,P055_P056_Z,71.22446506934473,84.13920890038791,101451.03043771948,23.922609544392103,2.582375478927203,6162.373189091911,1448.4442771006995,stand
luneta,p062,2,P061_P062_Z,11.575451237769196,52.24698835749479,547.1403250193893,5.442894606341139,1.528735632183908,41.30758967770359,638.166724880064,sit
rabac,p036,2,P035_P036_Z,84.98456425767812,105.48162010172464,29351.97597742895,19.97363742693524,3.942528735632184,8181.66520321884,3435.9908750646746,sit
schodzic,p133,3,P133_P134_Z,57.46617734133339,23.764330045552583,14728.01535002687,13.323708431475277,3.7662835249042144,2130.707725000287,990.5734855086316,sit
strzelac,p141,2,P141_P142_Z,41.16435229518095,33.7239242899767,3709.876411875848,9.958146421327196,4.2298850574712645,568.8167083346735,1102.9979110381685,sit
schody,p093,2,P093_P094_Z,63.52491499152545,48.83670049139461,49602.889394881815,13.04684798607898,5.57088122605364,5691.330073832641,1441.8371012373784,stand
luneta,p073,1,P073_P074_Z,22.225836951226533,43.19019698507269,10671.260427913849,11.047781658283274,1.2298850574712643,736.1232776059114,980.3045970376958,sit
drabina,p083,2,P083_P084_Z,146.44806757294248,44.732605801794655,73779.37237643033,25.91735140208615,4.459770114942529,13531.541336377868,2227.5593824799685,stand
drabina,p039,3,P039_P040_Z,131.606339305493,117.71507695925796,112926.01789408084,27.97590259416066,4.130268199233717,19328.38314014587,1611.9005595365095,stand
strzelac,p059,3,P059_P060_Z,24.075347516425825,19.443036704084484,4473.999778208464,9.089792120353623,1.9731800766283525,620.3433072792518,735.4421618400037,stand
obierac,p129,2,P129_P130_Z,47.3627638726782,34.60581276402354,2365.912301722746,6.921088567400459,6.314176245210728,522.2839350364261,1354.237036967792,sit
smazyc,p092,3,P091_P092_Z,70.08279709879642,147.30359059109583,30382.40684804453,14.61449944490598,4.145593869731801,4249.812142407323,2121.4687342680054,stand
drewno,p055,3,P055_P056_Z,101.18645621125876,72.69240387872992,69729.72528025805,23.93816054873392,3.6398467432950192,17504.254026508883,2131.749833599224,stand
