index,participant,director,resp,meaning,thisN,round,pair,Begin Time - msec,End Time - msec,Duration - msec,Participant1,Participant2,StrategyP1,StrategyP2,MarkerP1,MarkerP2,SAlignmentP1,SAlignmentP2,FormP1,FormP2,EnactingP1,EnactingP2,MoldingP1,MoldingP2,DrawingP1,DrawingP2,RepresentingP1,RepresentingP2,Forms_AlignmnentP1,AMarkerP1,AMarkerP2,Forms_AlignmnentP2,strategies,alignment,strategies_no,moulding,enacting,drawing,representing,alignment_degree,condition
13,P061_P062_Zsit,P062,left,skakanka,3,round1,P061P062,93306,111307,18001,,SKAKANKA_1_,,SKAKANKA_1_E_D_E,,,,SKAKANKA_1_E_D_E_2/3,,SKAKANKA_1_E_D_E,,,,,,,,,,,,,SKAKANKA_1_E_D_E,SKAKANKA_1_E_D_E_2/3,3,0,1,1,0,0.666666666666667,sit
13,P061_P062_Zsit,P062,left,skakanka,3,round1,P061P062,93525,101099,7574,,SKAKANKA_1_,,SKAKANKA_1_E_D_E,,,,SKAKANKA_1_E_D_E_2/3,,SKAKANKA_1_E_D_E,,SKAKANKA_1_E,,,,,,,,,,SKAKANKA_1_E,SKAKANKA_1_E_D_E,SKAKANKA_1_E_D_E_2/3,3,0,1,1,0,0.666666666666667,sit
13,P061_P062_Zsit,P062,left,skakanka,3,round1,P061P062,101099,105213,4114,,SKAKANKA_1_,,SKAKANKA_1_E_D_E,,,,SKAKANKA_1_E_D_E_2/3,,SKAKANKA_1_E_D_E,,,,,,SKAKANKA_1_D,,,,,,,SKAKANKA_1_E_D_E,SKAKANKA_1_E_D_E_2/3,3,0,1,1,0,0.666666666666667,sit
13,P061_P062_Zsit,P062,left,skakanka,3,round1,P061P062,105213,111307,6094,,SKAKANKA_1_,,SKAKANKA_1_E_D_E,,,,SKAKANKA_1_E_D_E_2/3,,SKAKANKA_1_E_D_E,,SKAKANKA_1_E,,,,,,,,,,SKAKANKA_1_E,SKAKANKA_1_E_D_E,SKAKANKA_1_E_D_E_2/3,3,0,1,1,0,0.666666666666667,sit
23,P061_P062_Zsit,P062,right,laska,13,round1,P061P062,266208,273351,7143,,LASKA_1_,,LASKA_1_E,,,,LASKA_1_E_1/1,,LASKA_1_E,,,,,,,,,,,,,LASKA_1_E,LASKA_1_E_1/1,1,0,1,0,0,1,sit
23,P061_P062_Zsit,P062,right,laska,13,round1,P061P062,268001,272874,4873,,LASKA_1_,,LASKA_1_E,,,,LASKA_1_E_1/1,,LASKA_1_E,,LASKA_1_E,,,,,,,,,,LASKA_1_E,LASKA_1_E,LASKA_1_E_1/1,1,0,1,0,0,1,sit
24,P061_P062_Zsit,P061,left,drabina,14,round1,P061P062,280463,285320,4857,DRABINA_1_,,DRABINA_1_D,,,,DRABINA_1_D_1/1,,DRABINA_1_D,,,,,,,,,,,,,,DRABINA_1_D,DRABINA_1_D_1/1,1,0,0,1,0,1,sit
24,P061_P062_Zsit,P061,left,drabina,14,round1,P061P062,280846,285085,4239,DRABINA_1_,,DRABINA_1_D,,,,DRABINA_1_D_1/1,,DRABINA_1_D,,,,,,DRABINA_1_D,,,,DRABINA_1_D,,,,DRABINA_1_D,DRABINA_1_D_1/1,1,0,0,1,0,1,sit
28,P061_P062_Zsit,P061,left,patelnia,18,round1,P061P062,333339,342291,8952,PATELNIA_1_,,PATELNIA_1_D,,,,PATELNIA_1_D_1/1,,PATELNIA_1_D,,,,,,,,,,,,,,PATELNIA_1_D,PATELNIA_1_D_1/1,1,0,0,1,0,1,sit
28,P061_P062_Zsit,P061,left,patelnia,18,round1,P061P062,334212,340015,5803,PATELNIA_1_,,PATELNIA_1_D,,,,PATELNIA_1_D_1/1,,PATELNIA_1_D,,,,,,PATELNIA_1_D,,,,PATELNIA_1_D,,,,PATELNIA_1_D,PATELNIA_1_D_1/1,1,0,0,1,0,1,sit
